"Time","Patch","Age","myID","momID","dadID","Mate"
143,1,28,2976432,2379605,1746744,2336380
143,1,38,2731684,2215661,2018395,2588818
144,1,10,3427047,3222717,3102568,3357655
144,1,8,3471739,2802428,2615334,3272001
144,1,26,3040000,2585697,2457850,2920788
144,1,8,3471640,2880630,2495814,3435108
144,1,9,3434397,3153636,3139157,3248262
144,1,11,3393207,2389142,2088434,2866165
144,1,22,3136301,2878235,2414074,3063887
144,1,8,3465171,3107303,2304501,2980816
144,1,12,3362235,2924350,2639571,2960976
144,1,9,3439097,3211454,3188479,2969005
144,1,37,2795299,2579692,2423460,2690083
144,1,15,3297229,2890875,2891510,3214596
145,1,10,3446017,3127190,3139780,3176851
145,1,30,2963318,2528630,2505149,2971864
145,1,9,3462787,3245409,3110996,3378449
145,1,12,3383487,2823788,2841185,2921268
145,1,10,3431677,3192353,3040572,3361373
145,1,27,3030082,2519617,1716935,2811739
145,1,12,3380649,2536286,2303847,3352033
145,1,18,3257354,2525248,2445298,2816469
146,1,22,3188535,2152944,1631334,2698860
146,1,16,3324711,2860266,2554520,3283230
146,1,27,3055956,2866117,2863947,2945036
146,1,15,3347012,2840609,2448103,3341690
146,1,17,3297992,3094680,3089111,3186914
146,1,15,3354851,3163238,3154500,2932074
146,1,17,3305661,3096819,3045516,3209759
147,1,13,3424511,2995368,2760661,3408418
147,1,12,3432030,3047317,2540066,3073236
147,1,17,3322196,3022817,2538684,3201305
147,1,8,3531387,3268980,3109036,3483868
147,1,29,3050549,2852644,2865598,3002272
147,1,16,3345894,2678940,2598955,3350677
147,1,13,3426604,3222234,2501609,3282984
147,1,9,3511344,3217559,3224565,3511751
147,1,27,3084845,2698793,2631421,2590658
147,1,68,2090878,1623731,1492636,2048772
147,1,19,3282145,3041630,3045516,3041256
148,1,13,3437469,3066654,2935835,3425184
148,1,20,3264498,2890164,2873967,3193976
148,1,14,3410732,2967673,2746478,2673337
148,1,11,3487472,2925613,2822163,3301766
148,1,13,3428096,3038330,2831030,2932249
148,1,36,2897973,2641209,2627903,2894685
148,1,27,3106424,2825004,2730650,3108090
148,1,21,3256324,2825723,2817704,3221848
148,1,9,3532979,3290132,3241186,3396268
148,1,20,3270905,2343041,2232440,3266859
148,1,18,3329303,2566155,1487484,3197260
148,1,33,2964174,2647910,2647815,2962000
148,1,8,3546819,2999749,1395704,3022572
148,1,9,3522701,3193311,3002919,3524130
148,1,10,3502474,3241037,3202784,2672509
149,1,22,3246979,2956674,2806042,3130205
149,1,10,3524060,2966882,2829974,3283063
149,1,8,3580688,3137923,2816030,3577410
149,1,35,2939273,2532954,2239777,2746478
149,1,24,3211185,2983431,2807539,2856934
149,1,14,3428198,2729159,2706449,3270022
149,1,9,3568044,3360003,3318746,3184609
149,1,8,3573523,3214924,3105042,2789815
149,1,8,3587183,3255133,3252608,3439832
150,1,21,3291796,2773798,2776730,3262071
150,1,11,3532339,3245300,2971095,3211524
150,1,10,3554439,3109117,2487388,3017424
150,1,8,3593416,3155428,2972712,3510138
150,1,28,3137923,2907031,1528310,2816030
150,1,8,3607412,3146551,2887563,3141159
150,1,24,3228651,2612991,2522140,3236369
150,1,10,3546415,2835337,2234150,3219360
150,1,13,3477574,3272266,3131416,2841013
150,1,39,2885813,2470291,2082667,2684150
150,1,12,3507935,3262144,2821159,3439603
150,1,19,3343017,3133467,2553345,3278149
150,1,10,3558369,3160792,2954883,2719381
150,1,22,3278565,2878614,2763104,3203980
150,1,23,3257439,2967600,2932074,3037210
150,1,12,3517366,2634005,1416312,3495461
151,1,12,3541027,3316803,2710917,3174936
151,1,13,3499996,3167174,3126869,3480164
151,1,8,3633170,3188214,2466391,3476621
151,1,24,3241037,2589673,2136831,3202784
151,1,9,3604410,3250674,3207899,3556750
151,1,8,3624546,3333517,3093024,3458097
151,1,11,3552564,3244777,3262975,3303694
151,1,8,3628162,3150412,3167468,3484586
151,1,14,3489696,3213619,2830577,2601904
151,1,17,3412585,3203553,2520292,2710917
152,1,10,3605747,3397134,3142246,3589210
152,1,27,3213369,2815376,2429020,3201305
152,1,22,3316920,3043399,3029179,3171981
152,1,42,2849111,2417810,1856715,2393685
152,1,14,3506251,3056870,3041156,3344165
152,1,18,3417519,3101038,3064060,3102926
152,1,10,3604406,3250674,3207899,3555106
152,1,20,3360003,3059692,2705416,3318746
152,1,9,3628912,2618788,1954793,3628481
152,1,11,3576104,3375301,2850074,3277939
152,1,25,3262399,3073599,2905174,2426909
152,1,17,3445457,3008204,2805323,3089366
153,1,13,3561230,3090546,3010242,3268886
153,1,56,2536286,2234953,2081018,2303847
153,1,13,3561856,3351902,3331127,3187712
153,1,19,3412658,3095749,2989239,3399592
153,1,9,3648675,3388982,3171099,3377975
153,1,18,3435850,3011093,2904667,3380146
153,1,10,3638944,3428774,2991033,3459487
153,1,13,3558045,3321154,3241215,3497772
153,1,18,3428774,3125158,2358181,2991033
153,1,10,3621068,3356383,2792035,3588774
153,1,8,3670871,3457063,3216400,3374733
153,1,8,3676610,3394372,3252523,3433920
153,1,16,3478972,2964625,2807830,2970068
154,1,10,3656260,3270057,2961836,3369618
154,1,8,3704399,3294549,2961356,2902440
154,1,14,3554313,2591787,1207235,3503662
154,1,12,3612192,3393959,2005990,2867080
154,1,25,3288706,2605620,2603704,3302270
154,1,12,3612408,3111960,3059356,3482375
154,1,30,3180970,2942439,2935405,2916763
154,1,9,3669192,3327301,3232151,3441833
154,1,19,3428079,3038330,2831030,3309559
154,1,42,2910713,2713448,1687093,2707548
154,1,11,3629979,3140191,2882075,3604176
155,1,11,3640979,3005973,2933909,3585854
155,1,29,3222234,2871754,2706066,2501609
155,1,8,3724693,3510990,3372597,3680962
155,1,25,3322768,3052912,2951010,3180185
155,1,12,3624617,3400319,3272504,3607106
155,1,9,3706489,3513309,3254852,3707115
155,1,29,3226523,2992226,2710492,3203980
155,1,13,3601551,2830818,2829508,3404192
155,1,14,3575817,3374818,3175471,3433920
155,1,11,3647877,3030942,3013411,3208920
155,1,10,3670302,3180970,2916763,3425264
155,1,23,3370595,2736646,2544823,3192334
156,1,10,3695478,3365666,3239505,3360163
156,1,11,3679378,2825777,2753099,3331163
156,1,13,3627718,3321138,2654076,3634173
156,1,33,3160199,2896237,2912115,2833274
156,1,14,3600534,3379714,3378292,3525650
156,1,26,3327301,3012635,2816883,3232151
156,1,15,3582821,3251108,3067609,2820146
156,1,8,3734034,3428198,3270022,3610681
156,1,12,3643277,3098722,2847921,2902440
156,1,9,3722764,3017515,2557764,2710150
157,1,15,3615562,3421395,3164481,3405634
157,1,8,3776867,3574586,2891538,3764254
157,1,11,3697733,3160792,2954883,3276989
157,1,12,3664337,3451997,2950206,2606710
157,1,13,3644139,3437542,3440496,3284838
157,1,17,3567944,3374003,3361966,3364410
157,1,8,3758460,3506412,3303121,3755463
157,1,13,3654535,3161945,2804609,3267795
157,1,15,3599366,3104218,2893890,3503046
157,1,22,3439529,3020847,2906668,3354382
158,1,12,3692465,3414838,3106394,3426755
158,1,8,3784090,3358132,3342154,3692812
158,1,11,3717690,3268980,3109036,3585854
158,1,27,3353164,3035987,2418225,3118709
158,1,33,3212581,2966819,2787787,2999420
158,1,9,3766265,3421653,3059673,3626243
158,1,39,3066977,2834043,2787787,2990247
158,1,8,3780583,3476615,3065467,3580734
158,1,9,3763391,3565556,3286444,3597691
158,1,10,3750894,3262399,2426909,3597388
159,1,8,3816882,3551787,3476651,3563334
159,1,12,3727211,3474199,3456893,3320121
159,1,30,3295055,2975159,2601904,2864903
159,1,8,3816917,3398021,3094079,3645208
159,1,17,3607687,3181920,2974954,3185907
159,1,14,3667500,3224075,3215973,3326052
159,1,19,3554087,3040000,2920788,3490334
160,1,30,3319415,2830818,2829508,3231365
160,1,9,3803895,3268198,3126869,3422118
160,1,22,3518473,3111960,3059356,3271326
160,1,18,3608435,3380285,3355419,3429646
160,1,14,3687787,3433030,3301522,3208544
160,1,20,3569306,3365209,3062649,2979400
160,1,19,3575668,3297229,3214596,3242760
160,1,29,3354854,3163238,3154500,3014713
160,1,11,3756313,3515550,2358119,3589095
160,1,14,3696819,3016508,2661598,3646133
161,1,8,3866849,3575668,3242760,3628090
161,1,21,3553012,3063539,3017931,3467183
161,1,12,3776512,3587152,3586540,3714557
161,1,24,3478796,2939280,2829883,3352533
161,1,19,3608628,3264553,3135477,3535321
161,1,14,3723850,3361766,3287319,3085400
161,1,12,3766045,3344277,3099974,3646154
161,1,13,3750107,3458206,3349383,3744698
161,1,13,3741539,3543059,3440841,3727427
161,1,10,3818874,3576104,3277939,3792621
161,1,12,3761964,3421048,3220445,3741352
161,1,31,3318817,3095749,2989239,2987847
162,1,13,3763139,3469981,2646084,3698473
162,1,22,3559828,3284870,3263541,3540091
162,1,11,3820787,3453496,3426755,3504069
162,1,12,3779360,2664599,2593668,3725347
162,1,9,3848841,3501071,3254872,2565194
162,1,50,2895667,2657592,2320258,2301496
162,1,17,3670442,3442741,3305356,3241215
162,1,9,3856604,3633742,3551637,3829609
162,1,18,3652280,3301018,3146671,3186914
162,1,22,3564340,3041651,2942240,3540589
162,1,25,3478931,3053249,2358181,3109279
163,1,13,3791785,3123978,2934171,3462480
163,1,9,3873511,3643098,3410205,3533568
163,1,10,3864096,3439939,2932249,3862566
163,1,12,3807747,3383253,2719381,3808724
163,1,10,3851665,3624993,3621327,3861349
163,1,22,3589609,3345916,3318571,3231414
163,1,19,3643565,3346618,3186825,3523951
163,1,34,3288661,3070789,2961679,3247257
163,1,8,3905443,3621604,3267902,3647081
163,1,47,2987993,2669459,2549580,2972218
164,1,15,3765103,3376675,2590658,3736068
164,1,10,3885908,3533461,3383441,3663510
164,1,8,3933350,3542416,3421583,3290557
164,1,12,3835947,3605898,3152552,3838172
164,1,9,3911498,3416350,3369086,3778672
164,1,16,3750087,3013008,2730668,3522746
164,1,12,3835551,3358176,2875961,3759270
164,1,24,3565666,2799462,2666633,3382184
164,1,22,3605400,3347394,3127372,3474218
164,1,12,3846458,3649224,3080601,3813167
164,1,10,3878828,3551101,3333523,3671095
164,1,46,3031401,2517712,2283127,2932086
164,1,15,3767396,3527905,3252085,3614174
164,1,18,3699761,3146551,2887563,3232751
164,1,13,3803737,3567907,3271306,3675675
165,1,11,3892537,3699755,3703318,3721138
165,1,9,3924374,3725944,3184609,3901040
165,1,13,3836208,3164621,2984159,2604383
165,1,14,3819783,3502978,3491407,3800563
165,1,11,3879984,3626375,3461571,3617460
165,1,25,3555554,3157640,3153407,3484586
165,1,22,3633997,3240729,2533298,3609586
166,1,23,3623980,3180970,2916763,3619003
166,1,17,3757539,3507679,3418134,3678901
166,1,10,3939068,3743954,3645878,3776061
166,1,16,3790391,3448233,3022572,3341673
166,1,11,3908860,3201172,2821101,3790783
166,1,24,3605331,3269570,3142825,3361966
166,1,28,3516203,3251868,3236369,3378484
166,1,16,3791591,3565731,3187712,3747830
166,1,8,3964105,3615864,2836702,3435403
166,1,9,3948104,3594919,3339011,3269409
166,1,9,3941584,3501442,3283064,2864587
167,1,9,3968080,3300927,3172331,3978761
167,1,17,3788769,3519849,3176851,3578426
167,1,24,3615864,3213369,3201305,2836702
167,1,15,3833819,3486446,3398815,3753322
167,1,15,3846734,3661873,3082980,3825061
