"Time","Patch","Age","myID","momID","dadID"
141,1,2,3533847,3181618,2986487
142,1,4,3517053,3246359,3011543
142,1,2,3550225,3179779,3158447
142,1,2,3548054,3311365,3169267
142,1,4,3498804,2934099,2668011
142,1,2,3547491,3005973,2933909
142,1,3,3530204,3181103,3065467
142,1,4,3504139,3025689,2915696
142,1,2,3560647,3234963,2962004
142,1,5,3485013,3157604,3033837
142,1,2,3550479,3283688,3205637
142,1,2,3556293,3050549,3002272
142,1,2,3560794,2853813,2418225
142,1,2,3563078,3027099,2852623
142,1,4,3511161,3190957,2866473
143,1,2,3589540,3176923,2847921
143,1,3,3568734,3361297,3295786
143,1,5,3520613,3321138,2654076
143,1,2,3578810,3055956,2945036
143,1,6,3486981,3181555,2905174
143,1,3,3552081,3014027,2777226
143,1,2,3571935,3356960,3072947
143,1,2,3592412,3404090,3113409
143,1,2,3574830,3326800,3060404
143,1,3,3567256,3362904,3133943
143,1,5,3509745,3261029,3175681
144,1,5,3530248,3218075,2661598
144,1,2,3595292,3140842,2541989
144,1,3,3577607,3211325,2533298
144,1,2,3593971,3287323,3093024
144,1,4,3567700,3358176,2875961
144,1,5,3544787,3348748,3339671
144,1,2,3602669,3368007,3273776
144,1,3,3578392,3367764,3271191
144,1,4,3562773,3228477,2760388
144,1,4,3563478,3139603,3070637
144,1,2,3601714,3211407,2794091
144,1,3,3582516,2746264,2762155
145,1,2,3621151,3326359,3231220
145,1,3,3603129,3320782,3313218
145,1,2,3620033,3072796,2844108
145,1,4,3581554,2872659,2817715
145,1,2,3634807,2953696,2610902
145,1,2,3628290,3227762,3012134
145,1,5,3568805,3361365,3040987
145,1,2,3631787,3425752,3397249
145,1,2,3625525,2774083,2785309
145,1,2,3615959,3270658,3157693
145,1,2,3617810,3268198,3126869
145,1,2,3625367,3254591,3102926
145,1,3,3594101,3338451,1395704
146,1,2,3645957,3420667,3277706
146,1,3,3630708,3234963,2962004
146,1,4,3605559,2901401,2658637
146,1,2,3641681,3198072,2776700
146,1,2,3642940,2960588,2128994
146,1,3,3623617,3424511,3408418
146,1,6,3560992,2942968,2538949
146,1,3,3624265,3095201,2650830
146,1,3,3617848,3022130,2454450
146,1,3,3621731,3366749,3252639
147,1,4,3621177,3326359,3231220
147,1,3,3654402,3204548,3022572
147,1,3,3656886,3288879,3256149
147,1,2,3668972,3256324,3221848
147,1,2,3681716,3159513,3167468
147,1,2,3675088,3064783,2122391
147,1,2,3668965,3458884,3422423
147,1,2,3674005,3305833,3119839
147,1,3,3656489,3329967,2593135
147,1,2,3682886,3495090,3367623
147,1,3,3653422,3284870,3263541
147,1,2,3673540,3465215,3359296
147,1,2,3672720,3358176,2875961
147,1,2,3675495,3358466,3221139
148,1,3,3680080,2910300,2894137
148,1,3,3681831,3473402,3443576
148,1,2,3691712,3441989,2892113
148,1,3,3674660,3269559,2716604
148,1,2,3692601,3292701,2661414
148,1,5,3625224,3168245,3106792
148,1,6,3608129,3353326,3275915
148,1,2,3696202,3368164,3364410
148,1,2,3696272,3412658,3399592
148,1,3,3679362,3329967,2593135
148,1,2,3690364,3456682,3435437
148,1,2,3696331,3054525,2976896
148,1,5,3623447,3147868,2965485
148,1,4,3639260,3213402,2803882
148,1,3,3662567,3194466,3064060
149,1,4,3681380,3475136,3298176
149,1,3,3697330,3472655,3247766
149,1,2,3708078,3342612,3039064
149,1,3,3690069,3347675,3216400
149,1,2,3717709,3461938,2943730
149,1,2,3713302,3067359,2760661
149,1,2,3710748,3266089,3179273
149,1,4,3682488,3370376,3231337
149,1,2,3710829,3398537,3204830
149,1,2,3718953,3382918,3361386
149,1,2,3722275,3490876,3298751
149,1,4,3675177,3457633,3459094
149,1,2,3720965,3410389,3176851
149,1,5,3653626,3442382,2844443
149,1,2,3723024,3453772,3319051
149,1,4,3682901,3482843,2674696
149,1,3,3690561,3310453,3268994
150,1,3,3708060,3350311,3171523
150,1,2,3752433,3566684,3490146
150,1,4,3699849,3280106,2988431
150,1,2,3754213,3552523,3096846
150,1,2,3750770,3384454,2960923
150,1,2,3736960,3326359,3231220
150,1,4,3705356,3498932,3502355
150,1,2,3736382,3261727,2926736
150,1,5,3663585,2999749,1395704
150,1,3,3721109,3482384,3438080
150,1,2,3737963,3466271,2981520
150,1,2,3744213,3532863,3384297
150,1,3,3724234,3340854,3241215
150,1,5,3676459,3374552,3339011
150,1,2,3733973,3456238,3448834
150,1,2,3738208,3421048,3220445
151,1,2,3756700,3342693,3302948
151,1,4,3718523,3462110,3139380
151,1,2,3774944,3301175,2924645
151,1,3,3743625,3515174,3003081
151,1,3,3754803,3567554,2970068
151,1,3,3733898,3511769,3279743
151,1,2,3756797,3076510,2905035
151,1,2,3761809,3414690,3239802
151,1,2,3763287,3349463,3311024
151,1,2,3774076,3333392,3299994
151,1,2,3765120,3517366,3495461
151,1,2,3770689,3545713,3326052
152,1,2,3785435,3554313,3503662
152,1,2,3791415,3428774,2991033
152,1,4,3745393,2874644,2662628
152,1,2,3786287,3082028,3037099
152,1,2,3799372,3597750,3575851
152,1,3,3774332,3511481,3453547
152,1,5,3730360,3525720,3333846
152,1,2,3784444,3189927,2672509
152,1,4,3743045,3147998,2880201
152,1,3,3777592,3587660,3334413
153,1,2,3821473,3458367,3383677
153,1,3,3786062,2886949,2837860
153,1,2,3812520,3358176,2875961
153,1,3,3800619,3614801,3427902
153,1,2,3815819,3580454,2697801
153,1,2,3813740,3576348,3562815
154,1,2,3827944,3500139,3367434
154,1,5,3758026,3355604,3127372
154,1,2,3833883,3621290,3473909
154,1,2,3826688,3213414,3196753
154,1,3,3814789,3487246,3451282
154,1,4,3781766,3570419,3559031
154,1,2,3830908,3576515,3562163
